player,pos,fga_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,pts_per_36_min
Aaron Brooks,PG,15.6,3.2,5,1,0.3,18.2
Al Horford,C,15,8.4,3.8,1.1,1.5,18
Al Jefferson,C,18.3,9.9,2,0.8,1.5,19.6
Al-Farouq Aminu,SF,9.4,9,1.6,1.8,1.6,10.9
Alan Anderson,SG,9.1,4.2,1.7,1.2,0.1,11.3
Alex Len,C,8.4,10.8,0.8,0.8,2.5,10.2
Alexis Ajinça,C,12.4,11.8,1.8,0.8,1.9,16.7
Amir Johnson,PF,9.4,8.3,2.1,0.8,1.1,12.6
Andre Drummond,C,13.8,15.9,0.8,1.1,2.2,16.3
Andre Iguodala,SF,8.6,4.5,4,1.5,0.4,10.5
Andre Miller,PG,8.3,4.4,8.2,0.9,0.2,10.2
Andre Roberson,SG,5.6,7.1,2,1.5,0.8,6.4
Andrew Bogut,C,8.1,12.3,4.1,0.9,2.6,9.6
Andrew Wiggins,SF,13.8,4.5,2.1,1,0.6,16.8
Anthony Davis,PF,17.6,10.2,2.2,1.5,2.9,24.3
Anthony Morrow,SG,12.3,3.9,1.2,1.1,0.2,15.7
Anthony Tolliver,PF,9.9,5.9,1.5,0.6,0.4,12.1
Aron Baynes,C,10.5,10.2,1.1,0.5,0.7,14.8
Arron Afflalo,SG,12.7,3.6,1.9,0.6,0.1,14.9
Austin Rivers,PG,11.4,3.5,3.6,1.1,0.3,12.2
Avery Bradley,SG,15,3.6,2,1.2,0.2,15.9
Ben McLemore,SG,11.2,3.2,1.9,1,0.3,13.4
Beno Udrih,PG,12.2,3.4,5.3,1.1,0.2,14.6
Bismack Biyombo,C,5.4,11.8,0.5,0.5,2.9,8.8
Blake Griffin,PF,17.5,7.8,5.4,1,0.5,22.4
Bojan Bogdanović,SF,11.2,4.1,1.3,0.7,0.2,13.6
Boris Diaw,PF,11.5,6.3,4.2,0.7,0.4,12.8
Bradley Beal,SG,14.5,4.1,3.3,1.3,0.3,16.4
Brandan Wright,PF,9,8,1,1.2,2.3,13.5
Brandon Bass,PF,12.7,7.4,1.9,0.8,0.6,16.2
Brandon Knight,PG,15.7,4.3,5.8,1.6,0.2,18.9
Brian Roberts,PG,12.2,3,4.4,0.9,0.2,13
Brook Lopez,C,16.9,9.2,0.9,0.7,2.2,21.2
C.J. Miles,SG,16.2,4.2,1.5,1.2,0.5,18.4
Carl Landry,PF,11.1,8.1,0.8,0.5,0.5,15.2
Carlos Boozer,PF,15.8,10.3,2,0.9,0.3,17.8
Caron Butler,SF,8.8,4.3,1.8,1,0.1,10.2
Chandler Parsons,SF,13.7,5.3,2.7,1.1,0.3,17.1
Channing Frye,PF,9.4,5.6,1.8,0.9,0.8,10.6
Charlie Villanueva,PF,19.2,7.9,1,0.8,1.2,21.4
Chase Budinger,SF,10.9,5.5,1.8,1.2,0.3,12.8
Chris Kaman,C,14.1,12.5,1.7,0.5,1.4,16.4
Chris Paul,PG,14.7,4.7,10.6,2,0.2,19.7
Corey Brewer,SF,13.9,5.1,3,2,0.3,15.8
Cory Joseph,PG,10.2,4.8,4.7,1.1,0.4,13.3
Courtney Lee,SG,9.8,2.7,2.3,1.1,0.2,11.9
D.J. Augustin,PG,11.9,3,6.5,0.9,0.1,14.2
Damian Lillard,PG,16.7,4.7,6.2,1.2,0.3,21.2
Damjan Rudež,SF,9,1.6,1.8,0.6,0.2,11.1
Danny Green,SG,11.5,5.3,2.5,1.6,1.4,14.7
Dante Cunningham,PF,7.4,5.6,1.1,1,0.8,7.4
Dante Exum,PG,8.2,2.6,3.9,0.8,0.3,7.8
David West,PF,13,8.5,4.2,0.9,0.9,14.6
DeAndre Jordan,C,6.8,15.7,0.8,1,2.3,12.1
DeMarre Carroll,SF,10.7,6.1,1.9,1.5,0.3,14.5
Dennis Schröder,PG,15.8,3.9,7.5,1.2,0.1,18.2
Deron Williams,PG,13.1,4,7.6,1.1,0.3,15.1
Derrick Favors,PF,14.5,9.6,1.8,0.9,1.9,18.7
Derrick Williams,PF,11.9,5,1.2,0.8,0.1,15.2
Devin Harris,PG,11.2,2.9,5.1,1.7,0.3,14.2
Dion Waiters,SG,15.4,3.1,2.7,1.5,0.3,15.3
Dirk Nowitzki,PF,16.8,7.2,2.3,0.6,0.5,21
Donatas Motiejūnas,PF,12.4,7.4,2.3,1,0.6,15.1
Draymond Green,PF,11.1,9.4,4.2,1.8,1.4,13.3
Ed Davis,PF,9.2,11.7,1.8,1,1.9,12.8
Elfrid Payton,PG,10.2,5,7.7,2.1,0.3,10.6
