player,fga_per_game,pts_per_game
Aaron Brooks,16.2,19.6
Al Harrington,14.3,17.7
Al Horford,10.5,14.2
Al Jefferson,14.8,17.1
Al Thornton,9,10.7
Amar'e Stoudemire,15.4,23.1
Amir Johnson,4.1,6.2
Anderson Varejão,6.1,8.6
Andray Blatche,12.3,14.1
Andre Iguodala,13.7,17.1
Andre Miller,11.1,14
Andrea Bargnani,14.3,17.2
Andrés Nocioni,7.8,8.5
Andrew Bogut,13.2,15.9
Andrew Bynum,10.6,15
Antawn Jamison,15.7,18.7
Anthony Morrow,10.2,13
Anthony Parker,5.9,7.3
Antoine Wright,6,6.5
Antonio McDyess,5.6,5.8
Arron Afflalo,7.1,8.8
Austin Daye,4.3,5.1
Baron Davis,13.5,15.3
Ben Wallace,4.2,5.5
Beno Udrih,10.6,12.9
Boris Diaw,9.4,11.3
Brad Miller,7.1,8.8
Brandon Jennings,14.8,15.5
Brandon Roy,16,21.5
Brandon Rush,8.6,9.4
Brendan Haywood,6.4,9.1
Brook Lopez,13.8,18.8
C.J. Miles,8.9,9.9
C.J. Watson,8.1,10.3
Carl Landry,11.6,16.8
Carlos Arroyo,5.2,6.1
Carlos Boozer,14.1,19.5
Carlos Delfino,9.8,11
Carmelo Anthony,21.8,28.2
Caron Butler,14.2,16.3
Channing Frye,8.7,11.2
Charlie Bell,6.2,6.5
Charlie Villanueva,10.6,11.9
Chase Budinger,7.6,8.9
Chauncey Billups,13.2,19.5
Chris Andersen,3.3,5.9
Chris Bosh,16.5,24
Chris Douglas-Roberts,8.6,9.8
Chris Duhon,6.7,7.4
Chris Kaman,15.8,18.5
Chuck Hayes,4,4.4
Corey Brewer,11.6,13
Corey Maggette,12.7,19.8
Courtney Lee,10.9,12.5
Craig Smith,5.3,7.8
D.J. Augustin,5.4,6.4
Dahntay Jones,8.2,10.2
Damien Wilkins,4.8,5.6
Danilo Gallinari,11.4,15.1
Dante Cunningham,3.4,3.9
Darius Songaila,6.5,7.2
Darren Collison,10.4,12.4
David Andersen,5.4,5.8
David Lee,15.5,20.2
David West,15.1,19
DeAndre Jordan,3.4,4.8
DeJuan Blair,6,7.8
DeMar DeRozan,6.6,8.6
DeMarre Carroll,3.1,2.9
Derek Fisher,6.8,7.5
Deron Williams,13.9,18.7
Derrick Rose,17.6,20.8
DeShawn Stevenson,2.5,2.1
Devin Harris,13.8,16.9
Dirk Nowitzki,18.5,25
Donté Greene,7.3,8.5
Dorell Wright,5.8,7.1
Drew Gooden,8.6,10.9
Dwight Howard,10.2,18.3
Dwyane Wade,19.6,26.6
Earl Boykins,6,6.6
Earl Watson,6.6,7.8
Eddie House,6.7,7
Elton Brand,11.3,13.1
Emeka Okafor,8,10.4
Eric Maynor,4.5,4.7
Ersan İlyasova,9,10.4
George Hill,9.5,12.4
