season	player_id	player	birth_year	pos	age	experience	lg	tm	g	mp	fg_per_36_min	fga_per_36_min	fg_percent	avg_dist_fga	percent_fga_from_x2p_range	percent_fga_from_x0_3_range	percent_fga_from_x3_10_range	percent_fga_from_x10_16_range	percent_fga_from_x16_3p_range	percent_fga_from_x3p_range	fg_percent_from_x2p_range	fg_percent_from_x0_3_range	fg_percent_from_x3_10_range	fg_percent_from_x10_16_range	fg_percent_from_x16_3p_range	fg_percent_from_x3p_range	percent_assisted_x2p_fg	percent_assisted_x3p_fg	percent_dunks_of_fga	num_of_dunks	percent_corner_3s_of_3pa	corner_3_point_percent
2023	4219	Aaron Gordon	NA	PF	27	9	NBA	DEN	68	2055	7.5	13.3	0.564	8.9	0.773	0.489	0.183	0.064	0.037	0.227	0.628	0.782	0.388	0.286	0.357	0.347	0.631	0.733	0.264	181	0.324	0.25
2023	4582	Aaron Holiday	NA	PG	26	5	NBA	ATL	63	845	3.9	9.4	0.418	14.7	0.6	0.223	0.168	0.132	0.077	0.4	0.424	0.612	0.216	0.31	0.529	0.409	0.214	0.861	0	0	0.17	0.2
2023	4805	Aaron Nesmith	NA	SF	23	3	NBA	IND	73	1816	5	11.7	0.427	15.5	0.468	0.249	0.136	0.063	0.02	0.532	0.496	0.639	0.263	0.486	0.333	0.366	0.701	0.965	0.042	22	0.424	0.383
2023	4900	Aaron Wiggins	NA	SG	24	2	NBA	OKC	70	1297	5.2	10.1	0.512	10.6	0.664	0.383	0.264	0.014	0.003	0.336	0.573	0.705	0.396	0.4	0	0.393	0.696	0.958	0.055	18	0.459	0.286
2023	5027	AJ Griffin	NA	SF	19	1	NBA	ATL	72	1401	6.4	13.7	0.465	16.8	0.514	0.101	0.165	0.173	0.075	0.486	0.536	0.63	0.568	0.522	0.375	0.39	0.558	0.891	0.017	9	0.293	0.408
2023	3734	Al Horford	NA	C	36	16	NBA	BOS	63	1922	4.3	9	0.476	18.8	0.322	0.14	0.123	0.038	0.021	0.678	0.539	0.672	0.525	0.278	0.2	0.446	0.675	0.993	0.023	11	0.378	0.488
2023	3982	Alec Burks	NA	SG	31	12	NBA	DET	51	1122	6.4	14.7	0.436	18.2	0.479	0.089	0.144	0.124	0.122	0.521	0.459	0.634	0.409	0.456	0.393	0.414	0.307	0.687	0.002	1	0.222	0.491
2023	4465	Alex Caruso	NA	PG	28	6	NBA	CHI	67	1575	3	6.5	0.455	15	0.472	0.29	0.112	0.052	0.017	0.528	0.556	0.699	0.281	0.4	0.4	0.364	0.533	0.945	0.028	6	0.49	0.405
2023	4904	Alperen Şengün	NA	C	20	2	NBA	HOU	75	2171	7.3	13.2	0.553	6	0.929	0.395	0.464	0.053	0.016	0.071	0.57	0.677	0.499	0.476	0.308	0.333	0.499	1	0.109	77	0.035	0
2023	4690	Amir Coffey	NA	SG	25	4	NBA	LAC	50	625	3.2	8.4	0.386	12.1	0.724	0.172	0.366	0.124	0.062	0.276	0.429	0.6	0.377	0.389	0.333	0.275	0.6	1	0.041	5	0.45	0.222
